iter	Passed	Remaining
0	0	89
1	2	98
2	2	83
3	3	74
4	3	74
5	4	72
6	5	71
7	6	71
8	6	68
9	7	68
10	11	96
11	17	128
12	18	125
13	20	126
14	22	127
15	24	130
16	28	137
17	28	132
18	29	127
19	33	134
20	35	132
21	36	128
22	37	125
23	39	126
24	41	125
25	43	123
26	44	120
27	45	117
28	46	113
29	47	110
30	48	107
31	48	103
32	49	100
33	49	96
34	50	93
35	51	91
36	51	88
37	52	85
38	52	82
39	53	80
40	54	77
41	54	75
42	55	72
43	55	70
44	56	68
45	56	66
46	59	66
47	60	65
48	60	63
49	61	61
50	62	59
51	63	58
52	64	56
53	64	55
54	64	53
55	65	51
56	65	49
57	66	47
58	66	46
59	67	44
60	67	43
61	67	41
62	68	40
63	68	38
64	69	37
65	70	36
66	70	34
67	71	33
68	71	32
69	72	30
70	72	29
71	73	28
72	73	27
73	73	25
74	74	24
75	74	23
76	75	22
77	75	21
78	75	20
79	76	19
80	76	17
81	76	16
82	77	15
83	77	14
84	78	13
85	78	12
86	78	11
87	79	10
88	79	9
89	79	8
90	80	7
91	80	7
92	81	6
93	81	5
94	82	4
95	82	3
96	83	2
97	83	1
98	83	0
99	84	0
